K,avg_cost,avg_score,pool_size,pool
1,0.00470364921875,0.7416666666666666,1,gpt-5-chat
2,0.004997111,0.8916666666666666,2,MiniCPM4.1-8B|qwen3-235b-a22b-thinking-2507
3,0.004999977666666666,0.9249999999999977,3,deepseek-r1-0528|intern-s1|qwen3-235b-a22b-2507
4,0.00499998395833334,0.945833333333372,4,NVIDIA-Nemotron-Nano-9B-v2|deepseek-r1-0528|gpt-5|qwen3-235b-a22b-2507
5,0.004999605387500003,0.9625,5,Intern-S1-mini|Llama-3.1-8B-Instruct|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
6,0.00469005925,0.9791666666666665,6,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
7,0.004978175833333333,0.9833333333333332,7,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
8,0.004638456458333333,0.9833333333333332,8,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
9,0.004998549375,0.9833333333333332,9,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|internlm3-8b-instruct|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
10,0.0049992172,0.9833333333333332,10,GLM-Z1-9B-0414|MiniCPM4.1-8B|OpenThinker3-7B|Qwen3-8B|gemini-2.5-flash|glm-4.6|gpt-5|granite-3.3-8b-instruct|intern-s1|qwen3-235b-a22b-thinking-2507
11,0.004999722066666667,0.9833333333333332,11,GLM-Z1-9B-0414|MiniCPM4.1-8B|OpenThinker3-7B|Qwen3-8B|cogito-v1-preview-llama-8B|deepseek-r1-0528|gemini-2.5-flash|gemini-2.5-pro|glm-4.6|gpt-5|qwen3-235b-a22b-thinking-2507
12,0.004999978875,0.9833333333333332,12,GLM-Z1-9B-0414|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|gemini-2.5-flash|gemini-2.5-pro|glm-4.6|gpt-5|granite-3.3-8b-instruct|intern-s1|qwen3-235b-a22b-thinking-2507
13,0.0048563974875,0.9833333333333332,13,GLM-Z1-9B-0414|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|Qwen3-8B|cogito-v1-preview-llama-8B|gemini-2.5-flash|glm-4.6|gpt-5|granite-3.3-8b-instruct|intern-s1|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
14,0.004856121091666666,0.9833333333333332,14,GLM-Z1-9B-0414|Llama-3.1-Nemotron-Nano-8B-v1|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|Qwen3-8B|cogito-v1-preview-llama-8B|gemini-2.5-flash|glm-4.6|gpt-5|granite-3.3-8b-instruct|intern-s1|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
15,0.0048970841333333326,0.9833333333333332,15,GLM-Z1-9B-0414|Llama-3.1-Nemotron-Nano-8B-v1|MiniCPM4.1-8B|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|Qwen3-8B|cogito-v1-preview-llama-8B|gemini-2.5-flash|glm-4.6|gpt-5|granite-3.3-8b-instruct|intern-s1|kimi-k2-0905|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
