K,avg_cost,avg_score,pool_size,pool
1,0.00470364921875,0.7416666666666666,1,gpt-5-chat
2,0.0048860085000000004,0.8916666666666664,2,MiniCPM4.1-8B|qwen3-235b-a22b-thinking-2507
3,0.004953407500000001,0.9250000000000003,3,deepseek-r1-0528|intern-s1|qwen3-235b-a22b-2507
4,0.003922356,0.9458333333333332,4,Llama-3.1-8B-Instruct|deepseek-v3-0324|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
5,0.004553407541666666,0.9624999999999999,5,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
6,0.00469005925,0.9791666666666665,6,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
7,0.0045192780416666665,0.9833333333333332,7,GLM-Z1-9B-0414|Llama-3.1-8B-UltraMedical|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
8,0.003233057520833333,0.9833333333333332,8,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
9,0.002634959620833333,0.9833333333333332,9,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-thinking-2507
10,0.0022730220958333334,0.9833333333333332,10,GLM-Z1-9B-0414|Intern-S1-mini|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|gemini-2.5-flash|glm-4.6|gpt-5|kimi-k2-0905|qwen3-235b-a22b-2507|qwen3-235b-a22b-thinking-2507
