tau,lambda,avg_score,avg_cost,pool_size,pool
off,0.5,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
off,2.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
off,10.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.0,0.5,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.0,2.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.0,10.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.3,0.5,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.3,2.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.3,10.0,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
0.5,0.5,0.9166666666666666,4.959091666666667e-05,8,GLM-Z1-9B-0414|Llama-3.1-8B-Instruct|MiniCPM4.1-8B|NVIDIA-Nemotron-Nano-9B-v2|OpenThinker3-7B|Qwen2.5-Coder-7B-Instruct|cogito-v1-preview-llama-8B|qwen3-235b-a22b-2507
