prompt_id,model,dataset,weight,score,cost
AIME_1,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_10,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.001232
AIME_11,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_12,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_13,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_14,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_15,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_16,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_17,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_18,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_19,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_2,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_20,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.00692665
AIME_21,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.0080693
AIME_22,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_23,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_24,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_25,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_26,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_27,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.0069918
AIME_28,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_29,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.0047904
AIME_3,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_30,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_31,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_32,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_33,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_34,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_35,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_36,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_37,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_38,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.00170765
AIME_39,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_4,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_40,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_41,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.0085975
AIME_42,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_43,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_44,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_45,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_46,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_47,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_48,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.00683295
AIME_49,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_5,GLM-Z1-9B-0414,AIME,0.004166666666666667,0.0,0.0
AIME_50,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
